=== INFORME DE SANITIZACIÓN DE BASE DE DATOS ===
[Tabla_Verdad_Estudiantes.tipo_de_documento_2] Reemplazado '├®' por 'é' -> 498 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_acudiente] Reemplazado '├¡' por 'í' -> 1649 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_acudiente] Reemplazado '├│' por 'ó' -> 1124 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_acudiente] Reemplazado '├ì' por 'Í' -> 32 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_acudiente] Reemplazado '├®' por 'é' -> 1124 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_acudiente] Reemplazado '├æ' por 'Ñ' -> 19 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_acudiente] Reemplazado '├ü' por 'Á' -> 26 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_acudiente] Reemplazado '├ë' por 'É' -> 20 filas actualizadas.
[Tabla_Verdad_Estudiantes.nombre_completo_del_acudiente] Reemplazado '├ô' por 'Ó' -> 19 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_del_acudiente] Reemplazado '├¡' por 'í' -> 4 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_del_acudiente] Reemplazado '├▒' por 'ñ' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_del_acudiente] Reemplazado '├ü' por 'Á' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_del_acudiente] Reemplazado '├║' por 'ú' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.direccion_del_acudiente] Reemplazado '┬░' por '°' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.tipo_de_documento_del_acudiente] Reemplazado '├¡' por 'í' -> 4264 filas actualizadas.
[Tabla_Verdad_Estudiantes.tipo_de_documento_del_acudiente] Reemplazado '├®' por 'é' -> 4264 filas actualizadas.
[Tabla_Verdad_Estudiantes.docente_asignado] Reemplazado '├ë' por 'É' -> 1 filas actualizadas.
[Tabla_Verdad_Estudiantes.dia_de_clase] Reemplazado '├í' por 'á' -> 2 filas actualizadas.
[Tabla_Verdad_Estudiantes.dia_de_clase_p2] Reemplazado '├í' por 'á' -> 1 filas actualizadas.
[activity_logs.details] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[activity_logs.details] Reemplazado '├║' por 'ú' -> 1 filas actualizadas.
[calendar_events.google_calendar_id] Reemplazado '├ô' por 'Ó' -> 246 filas actualizadas.
[calendar_events.day_of_week] Reemplazado '├í' por 'á' -> 340 filas actualizadas.
[calendar_events.day_of_week] Reemplazado '├®' por 'é' -> 32 filas actualizadas.
[calendar_events.notes] Reemplazado '┬í' por '¡' -> 276 filas actualizadas.
[calendar_events.notes] Reemplazado '┬á' por ' ' -> 25 filas actualizadas.
[calendar_events.notes] Reemplazado '┬À' por '·' -> 18 filas actualizadas.
[class_logs.student_name] Reemplazado '├ë' por 'É' -> 1 filas actualizadas.
[class_logs.topic] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[class_logs.topic] Reemplazado '├í' por 'á' -> 1 filas actualizadas.
[class_logs.homework] Reemplazado '├¡' por 'í' -> 1 filas actualizadas.
[class_logs.homework] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[dyt_enrollment_programs.day_1] Reemplazado '├í' por 'á' -> 29 filas actualizadas.
[dyt_enrollment_programs.day_1] Reemplazado '├®' por 'é' -> 4 filas actualizadas.
[dyt_enrollment_programs.room_1] Reemplazado '├ô' por 'Ó' -> 8 filas actualizadas.
[dyt_enrollment_programs.room_2] Reemplazado '├ô' por 'Ó' -> 1 filas actualizadas.
[dyt_instruments.name] Reemplazado '├¡' por 'í' -> 2 filas actualizadas.
[dyt_instruments.name] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[dyt_instruments.name] Reemplazado '├®' por 'é' -> 2 filas actualizadas.
[dyt_instruments.name] Reemplazado '├║' por 'ú' -> 1 filas actualizadas.
[dyt_payment_plans.installments_details] Reemplazado '├│' por 'ó' -> 4 filas actualizadas.
[dyt_payment_plans.installments_details] Reemplazado '├®' por 'é' -> 11 filas actualizadas.
[form_responses.first_name] Reemplazado '├¡' por 'í' -> 5 filas actualizadas.
[form_responses.first_name] Reemplazado '├í' por 'á' -> 1 filas actualizadas.
[form_responses.first_name] Reemplazado '├ì' por 'Í' -> 1 filas actualizadas.
[form_responses.first_name] Reemplazado '├®' por 'é' -> 5 filas actualizadas.
[form_responses.last_name] Reemplazado '├¡' por 'í' -> 3 filas actualizadas.
[form_responses.last_name] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[form_responses.last_name] Reemplazado '├í' por 'á' -> 1 filas actualizadas.
[form_responses.last_name] Reemplazado '├ì' por 'Í' -> 1 filas actualizadas.
[form_responses.last_name] Reemplazado '├®' por 'é' -> 1 filas actualizadas.
[form_responses.last_name] Reemplazado '├▒' por 'ñ' -> 9 filas actualizadas.
[form_responses.last_name] Reemplazado '├ü' por 'Á' -> 3 filas actualizadas.
[form_responses.last_name] Reemplazado '├ë' por 'É' -> 2 filas actualizadas.
[form_responses.document_type] Reemplazado '├¡' por 'í' -> 12 filas actualizadas.
[form_responses.document_type] Reemplazado '├®' por 'é' -> 12 filas actualizadas.
[form_responses.document_expedition_place] Reemplazado '├í' por 'á' -> 15 filas actualizadas.
[form_responses.document_expedition_place] Reemplazado '├ü' por 'Á' -> 4 filas actualizadas.
[form_responses.neighborhood] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[form_responses.neighborhood] Reemplazado '├®' por 'é' -> 1 filas actualizadas.
[form_responses.current_grade] Reemplazado '├¡' por 'í' -> 5 filas actualizadas.
[form_responses.current_school] Reemplazado '├│' por 'ó' -> 10 filas actualizadas.
[form_responses.program_or_course] Reemplazado '├║' por 'ú' -> 18 filas actualizadas.
[form_responses.program_to_study_now] Reemplazado '├│' por 'ó' -> 11 filas actualizadas.
[form_responses.campus] Reemplazado '┬║' por 'º' -> 48 filas actualizadas.
[form_responses.preferred_day] Reemplazado '├í' por 'á' -> 30 filas actualizadas.
[form_responses.preferred_day] Reemplazado '├®' por 'é' -> 13 filas actualizadas.
[form_responses.preferred_time_slot] Reemplazado '├▒' por 'ñ' -> 20 filas actualizadas.
[form_responses.suggested_schedule] Reemplazado '├▒' por 'ñ' -> 1 filas actualizadas.
[form_responses.suggested_schedule] Reemplazado '├ô' por 'Ó' -> 2 filas actualizadas.
[form_responses.father_full_name] Reemplazado '├¡' por 'í' -> 1 filas actualizadas.
[form_responses.father_full_name] Reemplazado '├ì' por 'Í' -> 1 filas actualizadas.
[form_responses.father_full_name] Reemplazado '├®' por 'é' -> 5 filas actualizadas.
[form_responses.father_full_name] Reemplazado '├▒' por 'ñ' -> 8 filas actualizadas.
[form_responses.father_full_name] Reemplazado '├ü' por 'Á' -> 8 filas actualizadas.
[form_responses.father_full_name] Reemplazado '├ë' por 'É' -> 1 filas actualizadas.
[form_responses.father_document_type] Reemplazado '├¡' por 'í' -> 40 filas actualizadas.
[form_responses.father_document_type] Reemplazado '├®' por 'é' -> 40 filas actualizadas.
[form_responses.mother_full_name] Reemplazado '├¡' por 'í' -> 4 filas actualizadas.
[form_responses.mother_full_name] Reemplazado '├│' por 'ó' -> 2 filas actualizadas.
[form_responses.mother_full_name] Reemplazado '├ì' por 'Í' -> 3 filas actualizadas.
[form_responses.mother_full_name] Reemplazado '├®' por 'é' -> 2 filas actualizadas.
[form_responses.mother_full_name] Reemplazado '├▒' por 'ñ' -> 2 filas actualizadas.
[form_responses.mother_full_name] Reemplazado '├ü' por 'Á' -> 2 filas actualizadas.
[form_responses.mother_full_name] Reemplazado '├ô' por 'Ó' -> 1 filas actualizadas.
